,svcscan.nservices,svcscan.kernel_drivers,dlllist.avg_dlls_per_proc,pslist.avg_handlers,handles.nmutant,handles.nkey,handles.nsemaphore,dlllist.ndlls,svcscan.process_services,pslist.avg_threads,ldrmodules.not_in_load,ldrmodules.not_in_load_avg,malfind.uniqueInjections,svcscan.nactive,malfind.commitCharge,ldrmodules.not_in_init_avg,callbacks.ncallbacks,pslist.nppid,psxview.not_in_ethread_pool_false_avg,malfind.ninjections
7699,392,222,47.58718671,262.8084784,480,1155,838,2515,24,11.50387654,109,0.042955376,1.355377503,126,44,0.062741701,87,18,0.039244993,11
16987,395,222,49.92682927,301.5589955,334,774,741,2047,27,13.17816081,66,0.032901296,1.5,124,4,0.052342971,88,12,0.036686873,3
47727,389,221,37.525,203.0,233,690,602,1501,24,9.6,43,0.028420357,1.0,119,3,0.05419696,86,16,0.0,3
43624,385,220,34.86486486,177.9189189,197,464,444,1290,23,11.2972973,46,0.034456929,1.0,115,2,0.061423221,88,16,0.0,2
9308,392,222,44.56392156,260.6474435,373,979,753,1934,24,11.04747819,80,0.041067298,1.350623924,126,6,0.061652124,87,17,0.206000191,5
33414,389,221,38.90243902,213.0243902,274,703,654,1595,24,9.853658537,45,0.027932961,12.4,119,18505,0.052141527,86,16,0.024390244,62
24134,392,222,47.39955269,258.1641854,507,1176,919,2986,24,11.30766843,118,0.038856559,1.833333333,126,60,0.058927535,87,19,0.0,11
37687,389,221,37.6,204.1,232,691,602,1504,24,9.5,46,0.03022339,1.0,119,4,0.055847569,86,16,0.047619048,4
17291,395,222,49.08562795,281.3649752,334,775,726,2012,27,12.55641351,62,0.031543141,1.408873078,123,4,0.050511543,88,12,0.056333392,3
18847,392,222,43.15591294,244.0920103,326,835,676,1799,24,11.05890929,71,0.038689788,1.5,124,7,0.060586293,87,16,0.074427276,5
52797,389,221,39.08108108,214.7027027,230,667,596,1446,24,10.13513514,43,0.029492455,1.0,119,3,0.054183813,86,15,0.0,3
20548,395,222,48.93181818,285.9090909,347,791,750,2153,27,12.40364864,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
41174,389,221,37.46511628,198.0697674,266,693,614,1611,24,9.279069767,47,0.028484848,1.0,122,3,0.053939394,86,17,0.022727273,3
53316,389,221,39.85365854,214.195122,266,668,652,1634,24,11.02439024,50,0.029708853,1.75,122,31,0.053475936,86,17,0.0,7
21711,395,222,49.92682927,300.9697271,334,774,741,2047,27,13.15556093,66,0.032901296,1.5,124,4,0.052342971,88,12,0.04606361,3
14991,395,222,50.35714286,302.8809524,356,804,752,2115,27,13.34247934,76,0.03646833,1.333333333,124,5,0.055662188,88,12,0.040897385,4
23639,395,222,48.93181818,286.8751913,347,791,750,2153,27,12.53055817,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.018580886,4
38132,389,221,38.22727273,200.3181818,271,690,651,1682,24,9.613636364,49,0.028323699,1.0,122,4,0.053179191,87,17,0.022222222,4
49839,389,221,39.02380952,208.1190476,268,680,649,1639,24,10.07142857,47,0.027893175,1.0,123,3,0.052225519,86,16,0.086956522,3
56463,389,221,24.52631579,119.6315789,207,529,497,1398,24,6.631578947,42,0.02955665,1.0,116,2,0.056298381,88,15,0.465753425,2
10470,395,222,49.57055774,288.6289911,356,839,776,2132,27,13.9198091,53,0.024990197,1.006996178,123,4,0.044780517,88,15,0.0,4
10876,395,222,47.44910434,275.81468,331,771,712,1990,27,12.51420369,56,0.029098,1.490756327,123,4,0.04828557,88,13,0.08395893,3
12162,395,222,49.41463415,293.5419783,332,776,741,2026,27,12.87912737,63,0.031786075,1.5,123,4,0.051463169,88,13,0.0,3
48576,389,221,36.63414634,198.1707317,233,690,602,1502,24,9.243902439,43,0.028270874,1.0,119,3,0.0539119,87,16,0.130434783,3
35009,389,221,38.02325581,199.3953488,265,692,617,1635,24,9.348837209,46,0.027495517,1.0,122,4,0.05260012,87,17,0.022727273,4
51877,389,221,38.53658537,205.4634146,259,720,622,1580,24,9.585365854,50,0.031289111,1.0,120,4,0.056320401,86,16,0.0,4
57498,389,221,39.76923077,216.1282051,260,654,634,1551,24,10.58974359,46,0.028822055,1.0,122,3,0.052631579,86,15,0.093023256,3
11919,395,222,49.80822704,289.9347984,366,814,754,2138,27,12.78275821,75,0.035938047,1.333333333,123,5,0.055363899,88,12,0.0,4
19012,395,222,50.95238095,297.3321048,385,917,774,2140,27,12.96443928,73,0.034695817,1.333333333,125,5,0.052281369,88,12,0.023809524,4
58525,389,221,39.57142857,215.1428571,223,604,572,1385,24,10.34285714,43,0.030539773,1.0,120,2,0.0546875,87,14,0.0,2
48046,389,221,38.95454545,209.7272727,289,693,699,1714,24,10.0,46,0.026166098,11.6,122,18459,0.050056883,86,17,0.022727273,58
58406,389,221,40.0,220.0769231,259,652,640,1560,24,11.33333333,46,0.028660436,1.0,121,3,0.052336449,87,15,0.093023256,3
13297,395,222,48.93181818,286.3440029,347,791,751,2153,27,12.52272727,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
38473,389,221,38.02272727,198.4545455,269,691,650,1673,24,9.295454545,47,0.027357392,1.0,122,3,0.052386496,86,17,0.063829787,3
23181,395,222,52.41463415,307.9580209,410,930,772,2149,27,13.6097561,87,0.040352505,1.2,123,7,0.057977737,88,12,0.0,6
24424,392,222,44.25903846,255.6099463,379,855,700,1814,24,11.28012203,82,0.044623176,1.301064785,125,5,0.065519777,87,15,0.120139924,4
22038,395,222,50.02131373,298.7434313,331,767,739,2000,27,13.10368627,63,0.032194558,1.5,124,4,0.051613497,88,12,0.044193943,3
39066,389,221,39.275,213.775,246,748,661,1571,24,9.775,51,0.032055311,1.0,120,273,0.055939661,86,16,0.025,5
52645,389,221,39.08108108,215.2972973,230,669,596,1446,24,10.18918919,43,0.029492455,1.0,119,3,0.054183813,86,15,0.0,3
54728,389,221,39.22727273,207.0681818,278,729,670,1726,24,10.09090909,53,0.029808774,1.0,122,4,0.053993251,86,17,0.0,4
40380,389,221,39.4,214.5428571,223,600,572,1379,24,10.2,43,0.030670471,1.0,119,2,0.054921541,86,14,0.054054054,2
18956,392,222,46.77776149,258.4911996,479,1171,882,2572,24,11.03187249,108,0.042071605,1.547334581,127,53,0.061856183,87,20,0.140360015,12
45421,385,220,42.54545455,245.5454545,170,353,376,936,23,16.54545455,25,0.026041667,1.0,114,1,0.047916667,88,8,0.0,1
23647,395,222,50.27310431,292.4496432,369,848,731,2061,27,13.30927494,57,0.028207293,1.333333333,123,5,0.046815104,88,13,0.023809524,4
41959,389,221,40.15384615,221.6666667,260,660,640,1566,24,11.51282051,48,0.029758215,1.0,122,3,0.053316801,86,15,0.113636364,3
51029,389,221,38.04545455,200.8863636,269,694,653,1674,24,9.659090909,50,0.029019153,1.0,122,4,0.053975624,86,17,0.0,4
30020,389,221,39.94871795,218.0,259,660,634,1558,24,10.79487179,46,0.028696195,1.0,123,3,0.052401747,87,15,0.048780488,3
14632,395,222,48.93023256,285.7376684,343,820,748,2104,27,12.66748359,65,0.031676413,1.5,123,4,0.050682261,88,14,0.0,3
8612,395,222,48.94426506,290.6911585,353,793,752,2165,27,13.26594175,74,0.03481558,1.333333333,125,5,0.054622962,88,12,0.010071835,4
45552,385,220,42.54545455,240.8636364,170,353,376,936,23,16.40909091,25,0.026041667,1.0,114,1,0.047916667,88,8,0.0,1
15697,395,222,48.87396451,289.3605793,333,803,729,1985,27,12.95172358,64,0.033126294,1.5,122,4,0.051759834,88,12,0.01544546,3
6182,395,222,51.9463272,310.1769769,442,936,779,2146,27,13.86421126,83,0.039190015,1.2,123,7,0.057250972,88,12,0.0,6
16975,395,222,51.6,299.6041807,371,855,751,2064,27,13.30506452,81,0.039225182,1.25,124,6,0.057142857,88,12,0.024390244,5
43022,389,221,38.59090909,202.4545455,272,707,665,1698,24,9.727272727,51,0.029176201,1.5,123,426,0.053775744,87,17,0.022222222,6
11529,395,222,49.48780488,295.7245159,337,805,736,2029,27,13.20143828,65,0.032878098,1.5,123,4,0.051593323,88,12,0.0,3
55530,389,221,37.30232558,196.1162791,276,673,614,1604,24,9.23255814,47,0.028536733,1.0,122,3,0.05343048,87,17,0.066666667,3
12064,395,222,51.75,305.6206525,399,870,735,2070,27,13.86570056,74,0.036327933,1.25,123,6,0.054982818,88,12,0.024390244,5
42094,389,221,39.075,208.85,262,664,606,1563,24,9.85,45,0.028125,1.0,123,3,0.0525,86,16,0.090909091,3
36741,389,221,39.13513514,215.6216216,230,672,596,1448,24,10.10810811,43,0.029291553,1.0,119,3,0.053814714,86,15,0.097560976,3
17110,395,222,49.92183112,296.3209761,379,804,749,2096,27,13.3295159,71,0.03459405,1.333333333,125,5,0.054002343,88,12,0.0,4
42731,389,221,39.11904762,214.9285714,282,676,684,1643,24,10.42857143,47,0.027843602,11.4,122,18517,0.051540284,87,16,0.023809524,57
55152,389,221,39.08108108,215.4864865,230,669,596,1446,24,10.10810811,44,0.030054645,1.0,119,3,0.054644809,87,15,0.139534884,3
40550,389,221,37.81578947,203.2894737,225,628,580,1437,24,9.552631579,47,0.032103825,1.0,119,3,0.057377049,87,15,0.0,3
25339,395,222,52.70731707,307.0849226,442,912,771,2161,27,13.5441891,89,0.040994933,1.2,123,7,0.058498388,88,12,0.0,6
41228,389,221,39.05405405,214.7297297,230,668,594,1445,24,10.05405405,42,0.028846154,1.0,119,3,0.053571429,86,15,0.026315789,3
18973,392,222,47.16305305,264.1979299,443,1179,900,2441,24,11.48909585,96,0.039376695,1.480949581,127,38,0.059572673,87,21,0.029715465,11
29919,389,221,39.31428571,213.7142857,223,596,572,1376,24,10.25714286,43,0.03073624,1.0,118,2,0.055039314,86,14,0.0,2
17540,392,222,48.01225635,270.0288256,513,1242,918,2695,24,11.91826932,110,0.040483899,1.700857968,126,62,0.060224307,87,20,0.022029895,12
52922,389,221,39.05263158,213.2894737,239,671,602,1484,24,10.10526316,43,0.028364116,1.0,121,3,0.052770449,87,15,0.173913043,3
38983,389,221,38.22222222,198.3111111,274,713,659,1720,24,9.511111111,48,0.027210884,2.0,123,22,0.051587302,86,19,0.063829787,10
54894,389,221,38.5,205.075,234,697,613,1540,24,9.575,49,0.031390135,1.0,119,3,0.056374119,86,16,0.024390244,3
2570,395,222,48.93181818,286.7954545,347,791,751,2153,27,12.52716556,74,0.03490566,1.333333333,125,5,0.054716981,88,12,0.0,4
7138,395,222,48.95009177,291.1400347,352,791,752,2153,27,13.42291083,74,0.034892428,1.333333333,125,5,0.054696238,88,12,0.0,4
22580,395,222,50.14285714,285.5477134,393,816,748,2106,27,12.8334277,79,0.037476281,1.25,124,6,0.05597723,88,12,0.045454545,5
4999,392,222,47.42733456,278.651615,509,1201,899,2628,24,12.53141228,107,0.040309094,1.714285714,126,61,0.060181517,87,20,0.006817963,12
2441,395,222,49.64402578,286.7835563,347,803,746,2068,27,12.54522903,72,0.035820579,1.277624366,123,5,0.054471713,88,12,0.015546689,4
7283,395,222,51.17948718,303.1643445,352,864,751,1996,27,13.31294146,62,0.031344793,1.333333333,123,5,0.049544995,88,12,0.0,4
48756,389,221,38.07894737,209.4736842,230,668,594,1447,24,9.815789474,42,0.028688525,1.0,119,3,0.053278689,86,15,0.139534884,3
6676,395,222,52.2,308.947518,434,898,760,2088,27,13.60222622,80,0.038295835,1.25,123,6,0.056007659,88,12,0.0,5
7779,395,222,49.68280149,294.0078318,358,803,746,2086,27,13.33286207,71,0.034624654,1.333333333,125,5,0.054130404,88,12,0.0,4
51186,389,221,38.45238095,208.8571429,261,683,648,1615,24,10.73809524,48,0.028880866,1.0,122,3,0.05354994,86,16,0.023255814,3
23453,395,222,49.90909091,279.710697,387,835,763,2196,27,12.57577826,86,0.039002268,1.25,122,6,0.057596372,88,13,0.0,5
28446,395,222,48.93023256,286.728369,343,820,748,2104,27,12.93011509,65,0.031676413,1.5,123,4,0.050682261,88,14,0.0,3
53858,385,220,36.5625,192.375,186,429,406,1170,23,12.25,36,0.029875519,1.0,115,2,0.05560166,88,13,0.03030303,2
16333,392,222,43.65279849,246.4385224,328,818,662,1766,24,11.17460275,71,0.039329409,1.455268773,124,7,0.061067694,87,16,0.069053205,5
45236,389,221,39.02702703,215.1621622,230,666,594,1444,24,10.08108108,42,0.028708134,1.0,119,3,0.053315106,87,15,0.119047619,3
11514,395,222,48.47727273,283.8387679,350,828,747,2133,27,12.68723236,73,0.03494495,1.333333333,124,5,0.054092867,88,12,0.0,4
50529,389,221,37.95348837,202.744186,268,678,653,1632,24,9.837209302,48,0.028605483,1.0,122,3,0.053039333,87,17,0.086956522,3
29274,392,222,44.42547455,259.1056946,384,887,722,1821,24,11.31978523,83,0.045092036,1.333333333,126,5,0.065599322,87,16,0.215686275,4
46104,385,220,36.8125,185.6875,188,435,406,1178,23,10.53125,37,0.030477759,1.0,115,2,0.05601318,88,13,0.03030303,2
49752,389,221,39.05128205,211.1282051,257,661,600,1523,24,10.02564103,45,0.028938907,1.0,121,3,0.053376206,87,15,0.113636364,3
56680,389,221,40.0,220.0512821,259,652,640,1560,24,11.33333333,46,0.028660436,1.0,121,3,0.052336449,87,15,0.071428571,3
39257,389,221,39.10810811,215.2162162,230,668,594,1447,24,10.08108108,42,0.028767123,1.0,120,3,0.053424658,86,15,0.0,3
21694,392,222,43.55546174,255.5074406,326,850,707,1742,24,10.97019789,73,0.041401719,1.5,126,4,0.062386152,87,16,0.252175488,3
10690,395,222,46.40013622,279.7474138,314,746,658,1484,27,12.52655945,52,0.036542904,2.0,124,3,0.054777228,88,11,0.210526316,2
14944,392,222,43.79165265,253.7886881,384,967,748,1918,24,10.71197586,84,0.043447056,1.51056416,126,7,0.063424989,87,17,0.170203549,5
26847,395,222,49.03767852,277.4545455,356,840,758,2157,27,12.38382727,76,0.03546753,1.204038182,123,6,0.054474261,88,13,0.0,5
19919,395,222,49.625,292.108407,333,803,729,1985,27,12.7,64,0.033126294,1.5,123,4,0.051759834,88,12,0.0,3
27354,392,222,44.09590496,252.6912442,334,858,720,1808,24,10.75575831,80,0.044303336,1.333333333,127,5,0.06509212,87,16,0.199990293,4
16884,395,222,52.48176541,310.3126204,442,967,811,2205,27,13.8715016,88,0.040113079,1.201136358,123,6,0.057752236,88,12,0.0,5
35119,389,221,38.95,208.8,262,671,608,1558,24,9.875,45,0.028213166,1.0,122,3,0.052664577,86,16,0.090909091,3
38864,389,221,37.58139535,198.627907,264,689,616,1616,24,9.279069767,49,0.029571515,1.0,122,4,0.054918527,86,17,0.022727273,4
16122,392,222,47.21672812,268.7756014,413,1016,803,2289,24,11.91579132,90,0.038827086,1.243560512,126,6,0.058816166,87,17,0.110124216,5
17346,392,222,46.48965809,264.2774765,407,1053,768,2042,24,11.42150575,89,0.042841877,1.804679762,123,64,0.063340343,87,17,0.074446209,11
52964,389,221,37.5,202.675,232,689,602,1500,24,9.45,44,0.029004614,1.0,119,4,0.05471325,86,16,0.0,4
5608,395,222,49.81172582,287.3592075,362,801,731,2065,27,13.20202369,55,0.02734077,1.0,123,3,0.046888346,88,13,0.021288975,3
51635,389,221,38.23529412,203.1176471,201,562,482,1300,24,10.29411765,39,0.029147982,1.0,116,2,0.055306428,88,13,0.0,2
