pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class,Category,Filename
43,13,13.37209302,0,302.5116279,2170,50.46511628,13008,302.5116279,0,1145,4671,48,910,1264,107,783,145,443,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,16,11.19047619,0,280.7380952,2067,49.21428571,11791,280.7380952,0,907,3829,45,1252,928,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
40,12,13.825,0,307.225,2082,52.05,12289,307.225,0,1076,4314,44,887,1210,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,13,13.27906977,0,301.3953488,2170,50.46511628,12960,301.3953488,0,1140,4650,48,910,1249,107,783,145,441,400,70,111,70,0.032817628,0.052039381,0.032817628,5,6,30,1.25,3,0,3,3,7,5,9,0.065217391,0,0.065217391,0.065217391,0.152173913,0.108695652,0.195652174,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,16,11.26190476,0,280.7619048,2067,49.21428571,11792,280.7619048,0,907,3829,45,1252,931,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2,4,0,4,4,8,6,10,0.086956522,0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
40,12,13.6,0,306.425,2082,52.05,12257,306.425,0,1074,4299,44,887,1192,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
41,12,13.51219512,0,305.2682927,2105,51.34146341,12516,305.2682927,0,1133,4452,45,861,1211,103,765,139,417,387,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,16,10.45238095,0,244.5952381,1788,42.57142857,10276,263.4871795,0,813,3515,42,878,853,97,702,126,284,336,79,117,79,0.04321663,0.064004376,0.04321663,6,23,36,2,4,0,7,4,11,6,13,0.086956522,0,0.152173913,0.086956522,0.239130435,0.130434783,0.282608696,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
40,12,13.55,0,306.125,2082,52.05,12245,306.125,0,1074,4299,44,887,1190,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
41,12,13.41463415,0,304.7804878,2105,51.34146341,12496,304.7804878,0,1130,4447,45,861,1204,103,765,139,417,381,70,109,70,0.03384913,0.05270793,0.03384913,4,5,24,1.333333333,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
41,16,11.6097561,0,268.2195122,1924,46.92682927,10997,268.2195122,0,848,3675,44,982,929,101,733,132,335,385,87,127,87,0.044050633,0.064303797,0.044050633,9,58,54,1.8,4,0,4,4,8,6,10,0.088888889,0,0.088888889,0.088888889,0.177777778,0.133333333,0.222222222,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
32,11,12.53125,0,283.59375,1513,47.28125,9077,302.5666667,0,708,3117,33,751,777,81,666,123,240,324,61,87,61,0.041695147,0.059466849,0.041695147,3,4,18,1.5,5,0,7,5,11,7,13,0.135135135,0,0.189189189,0.135135135,0.297297297,0.189189189,0.351351351,138,395,222,26,27,118,0,124,88,0,8,Benign,Benign,Benign
40,12,13.325,0,305.25,2082,52.05,12210,305.25,0,1073,4288,44,887,1171,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,12,13.66666667,0,306.4761905,2177,51.83333333,12872,306.4761905,0,1169,4551,46,878,1256,105,776,142,440,425,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
40,13,13.175,0,293.25,1990,49.75,11730,293.25,0,1057,4196,44,789,1123,100,737,138,394,330,65,101,65,0.033539732,0.052115583,0.033539732,4,5,24,1.333333333,2,0,2,2,6,4,8,0.047619048,0,0.047619048,0.047619048,0.142857143,0.095238095,0.19047619,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,17,11.53488372,0,269.9767442,2024,47.06976744,11609,269.9767442,0,878,3919,47,1048,980,105,761,138,372,412,94,136,94,0.045148895,0.065321806,0.045148895,11,60,66,1.833333333,4,0,4,4,8,6,10,0.085106383,0,0.085106383,0.085106383,0.170212766,0.127659574,0.212765957,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
40,12,13.35,0,305.4,2082,52.05,12216,305.4,0,1074,4291,44,887,1175,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.48837209,0,303.627907,2223,51.69767442,13056,303.627907,0,1179,4591,47,888,1273,111,780,145,455,447,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
44,17,12.02272727,0,286.8636364,2162,49.13636364,12622,286.8636364,0,950,4272,48,1188,1061,107,869,145,400,444,101,144,101,0.045352492,0.064660979,0.045352492,14,79,84,2,3,0,3,3,7,5,9,0.063829787,0,0.063829787,0.063829787,0.14893617,0.106382979,0.191489362,138,392,222,26,24,118,0,124,87,0,8,Benign,Benign,Benign
40,12,13.325,0,305.3,2082,52.05,12212,305.3,0,1074,4290,44,887,1172,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.46511628,0,303.2790698,2223,51.69767442,13041,303.2790698,0,1180,4588,47,888,1268,111,780,145,455,445,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
50,22,11.4,0,274.34,2447,48.94,13717,274.34,0,1000,4541,55,1320,1143,120,990,157,441,466,109,158,109,0.043253968,0.062698413,0.043253968,16,81,96,1.777777778,2,0,2,2,6,4,8,0.038461538,0,0.038461538,0.038461538,0.115384615,0.076923077,0.153846154,138,393,222,26,25,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.275,0,304.95,2082,52.05,12198,304.95,0,1072,4284,44,887,1166,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.48837209,0,303.1162791,2223,51.69767442,13034,303.1162791,0,1176,4584,47,888,1273,111,780,145,455,445,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
47,19,11.46808511,0,241.9148936,2079,44.23404255,11370,241.9148936,0,840,3761,51,1011,1025,117,766,148,337,396,77,123,77,0.036150235,0.057746479,0.036150235,12,77,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,Benign,Benign,Benign
38,13,14.68421053,0,290.3947368,1875,49.34210526,11035,290.3947368,0,1027,3789,42,738,1171,96,635,131,355,326,51,87,51,0.026898734,0.045886076,0.026898734,4,5,24,1.333333333,2,0,2,2,6,4,7,0.05,0,0.05,0.05,0.15,0.1,0.175,137,395,222,26,27,118,0,120,88,0,8,Benign,Benign,Benign
32,13,13.09375,0,264.375,1452,45.375,8460,264.375,0,636,2971,36,658,766,83,571,127,186,242,32,63,32,0.022068966,0.043448276,0.022068966,2,2,12,1,0,0,0,0,4,2,5,0,0,0,0,0.125,0.0625,0.15625,138,395,222,26,27,118,0,119,88,0,8,Benign,Benign,Benign
50,22,11.2,0,274.08,2448,48.96,13704,274.08,0,1000,4545,55,1321,1133,120,993,158,441,466,109,158,109,0.043236811,0.062673542,0.043236811,16,81,96,1.777777778,1,0,1,1,5,3,7,0.019607843,0,0.019607843,0.019607843,0.098039216,0.058823529,0.137254902,138,393,222,26,25,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.225,0,304.975,2082,52.05,12199,304.975,0,1072,4283,44,887,1164,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.48837209,0,302.255814,2223,51.69767442,12997,302.255814,0,1173,4565,47,888,1272,111,776,145,455,445,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
50,22,11.08,0,273.42,2448,48.96,13671,273.42,0,996,4537,55,1320,1125,120,993,158,441,466,109,158,109,0.043236811,0.062673542,0.043236811,16,81,96,1.777777778,0,0,0,0,4,2,6,0,0,0,0,0.08,0.04,0.12,138,393,222,26,25,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.325,0,305.475,2082,52.05,12219,305.475,0,1075,4287,44,887,1167,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.44186047,0,301.0232558,2223,51.69767442,12944,301.0232558,0,1153,4572,47,888,1272,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
50,22,11.04,0,272.32,2448,48.96,13616,272.32,0,987,4520,55,1320,1119,120,993,157,441,466,109,158,109,0.043236811,0.062673542,0.043236811,16,81,96,1.777777778,0,0,0,0,4,2,6,0,0,0,0,0.08,0.04,0.12,138,393,222,26,25,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.375,0,305.275,2082,52.05,12211,305.275,0,1074,4286,44,887,1168,101,768,140,384,383,76,113,76,0.036573628,0.054379211,0.036573628,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.27906977,0,300.3023256,2223,51.69767442,12913,300.3023256,0,1152,4565,47,888,1260,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
52,25,10.46153846,0,253.1923077,2466,47.42307692,13166,253.1923077,0,941,4367,57,1238,1082,122,959,157,416,448,105,155,105,0.042219542,0.062324085,0.042219542,13,62,78,1.625,0,0,0,0,4,2,6,0,0,0,0,0.076923077,0.038461538,0.115384615,138,393,222,26,25,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.35,0,304.75,2081,52.025,12190,304.75,0,1073,4280,44,887,1165,101,763,140,384,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.11627907,0,299.6744186,2223,51.69767442,12886,299.6744186,0,1152,4555,47,888,1239,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
50,24,10.48,0,254.9,2403,48.06,12745,254.9,0,922,4189,54,1186,1040,118,947,151,400,438,104,153,104,0.042362525,0.062321792,0.042362525,12,61,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.08,0.04,0.12,138,395,222,26,27,118,0,127,87,0,8,Benign,Benign,Benign
40,12,13.35,0,304.9,2081,52.025,12196,304.9,0,1074,4283,44,887,1163,101,763,140,384,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.23255814,0,299.7209302,2223,51.69767442,12888,299.7209302,0,1152,4554,47,888,1246,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
56,21,12.28571429,0,269.2678571,2633,47.01785714,15079,269.2678571,0,1200,5236,61,1196,1491,130,893,161,541,510,107,161,107,0.04,0.060186916,0.04,12,61,72,1.714285714,0,0,0,0,4,2,7,0,0,0,0,0.071428571,0.035714286,0.125,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
40,12,13.3,0,304.825,2081,52.025,12193,304.825,0,1074,4283,44,887,1162,101,763,140,384,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.1627907,0,299.4651163,2223,51.69767442,12877,299.4651163,0,1152,4551,47,888,1240,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
55,20,12.65454545,0,280.8363636,2623,47.69090909,15446,280.8363636,0,1220,5336,61,1202,1501,128,899,156,561,510,107,160,107,0.040150094,0.060037523,0.040150094,12,61,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.072727273,0.036363636,0.109090909,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
32,11,12.8125,0,285.375,1513,47.28125,9134,304.4666667,0,712,3145,33,752,793,81,666,123,243,325,60,86,60,0.041039672,0.058823529,0.041039672,3,4,18,1.5,6,0,8,6,12,8,14,0.157894737,0,0.210526316,0.157894737,0.315789474,0.210526316,0.368421053,138,395,222,26,27,118,0,124,88,0,8,Benign,Benign,Benign
40,12,13.25,0,304.875,2081,52.025,12195,304.875,0,1074,4284,44,887,1161,101,763,140,384,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
43,12,13.09302326,0,299.3488372,2223,51.69767442,12872,299.3488372,0,1152,4543,47,888,1237,111,776,145,440,424,80,121,80,0.036429872,0.055100182,0.036429872,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
40,12,13.65,0,300.8,2006,50.15,12032,300.8,0,1085,4314,44,824,1168,100,740,138,417,367,70,106,70,0.035732517,0.054109239,0.035732517,4,5,24,1.333333333,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
57,20,12.24561404,0,271.4912281,2623,47.69090909,15475,271.4912281,0,1229,5337,61,1202,1504,128,899,156,565,510,109,162,109,0.040869891,0.060742407,0.040869891,12,61,72,1.714285714,0,0,0,0,4,2,8,0,0,0,0,0.070175439,0.035087719,0.140350877,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
40,12,13.15,0,304.5,2081,52.025,12180,304.5,0,1075,4281,44,887,1152,101,763,140,384,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,12,13.23809524,0,302.5,2177,51.83333333,12705,302.5,0,1142,4508,46,877,1222,105,772,142,425,403,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
56,21,11.35714286,0,263.5535714,2508,44.78571429,14763,283.9038462,0,1160,5002,58,1233,1332,122,909,155,529,499,105,155,105,0.041273585,0.060927673,0.041273585,12,61,72,1.714285714,1,0,5,1,9,3,11,0.01754386,0,0.087719298,0.01754386,0.157894737,0.052631579,0.192982456,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
40,12,13.325,0,305.7,2081,52.025,12228,305.7,0,1081,4308,44,887,1172,101,763,140,381,383,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,12,13.21428571,0,302.5,2177,51.83333333,12705,302.5,0,1142,4510,46,877,1221,105,772,142,425,405,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
60,21,10.85,0,257.9666667,2656,44.26666667,15482,276.4642857,0,1254,5355,62,1243,1384,129,919,156,567,513,109,163,109,0.040430267,0.060459941,0.040430267,12,61,72,1.714285714,0,0,4,0,8,2,11,0,0,0.066666667,0,0.133333333,0.033333333,0.183333333,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
40,12,13.575,0,308.475,2081,52.025,12339,308.475,0,1092,4356,44,887,1199,101,763,140,393,385,76,113,76,0.036591237,0.054405392,0.036591237,5,6,30,1.25,0,0,0,0,4,2,6,0,0,0,0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
42,12,13.0952381,0,302.1190476,2177,51.83333333,12689,302.1190476,0,1142,4504,46,877,1213,105,772,142,425,403,79,119,79,0.036761284,0.055374593,0.036761284,5,6,30,1.25,1,0,1,1,5,3,7,0.023255814,0,0.023255814,0.023255814,0.11627907,0.069767442,0.162790698,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
47,19,11.44680851,0,243.2765957,2090,44.46808511,11434,243.2765957,0,845,3801,51,1015,1027,117,770,148,337,398,78,124,78,0.036499766,0.058025269,0.036499766,12,77,72,1.714285714,0,0,0,0,4,2,6,0,0,0,0,0.085106383,0.042553191,0.127659574,138,392,222,26,24,118,0,122,87,0,8,Benign,Benign,Benign
38,13,15.26315789,0,293.3947368,1880,49.47368421,11149,293.3947368,0,1018,3857,42,763,1197,96,635,131,366,319,52,89,52,0.027440633,0.046965699,0.027440633,4,5,24,1.333333333,0,0,0,0,4,2,5,0,0,0,0,0.105263158,0.052631579,0.131578947,137,395,222,26,27,118,0,120,88,0,8,Benign,Benign,Benign
39,14,12.82051282,0,258.4615385,1808,46.35897436,10080,258.4615385,0,799,3538,44,744,994,97,612,139,262,276,40,78,40,0.022099448,0.043093923,0.022099448,3,3,18,1,0,0,0,0,4,2,5,0,0,0,0,0.102564103,0.051282051,0.128205128,138,395,222,26,27,118,0,120,88,0,8,Benign,Benign,Benign
60,21,10.5,0,256.15,2683,44.71666667,15373,274.5178571,0,1225,5356,62,1243,1346,130,929,157,542,480,110,164,110,0.040381791,0.06020558,0.040381791,12,61,72,1.714285714,1,0,5,1,9,3,13,0.016393443,0,0.081967213,0.016393443,0.147540984,0.049180328,0.213114754,138,392,222,26,24,118,0,126,87,0,8,Benign,Benign,Benign
41,12,14.09756098,0,312.2195122,2148,52.3902439,12801,312.2195122,0,1132,4476,45,931,1266,103,778,143,426,433,87,125,87,0.04037123,0.05800464,0.04037123,6,7,36,1.2,0,0,0,0,4,2,6,0,0,0,0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
44,13,12.75,0,296.3636364,2232,50.72727273,13040,296.3636364,0,1146,4678,49,921,1234,109,782,148,442,408,79,121,79,0.03584392,0.054900181,0.03584392,6,7,36,1.2,0,0,0,0,4,2,6,0,0,0,0,0.090909091,0.045454545,0.136363636,138,395,222,26,27,118,0,123,88,0,8,Benign,Benign,Benign
