,Class
56913,1
52164,1
22597,0
17635,0
13530,0
777,0
47212,1
8008,0
596,0
24080,0
57022,1
31655,1
4503,0
11369,0
53043,1
9961,0
51778,1
26761,0
57391,1
58264,1
21075,0
15191,0
11112,0
2264,0
31527,1
58562,1
48881,1
15495,0
30204,1
24525,0
52807,1
47787,1
27662,0
54918,1
40307,1
46986,1
9157,0
48928,1
13110,0
29635,1
4631,0
48969,1
52524,1
27642,0
26323,0
27026,0
35434,1
22189,0
44292,1
38502,1
27061,0
5606,0
38384,1
21815,0
30916,1
13679,0
15400,0
48140,1
39649,1
6235,0
15475,0
35159,1
40423,1
46589,1
2532,0
30694,1
20594,0
53148,1
16399,0
50846,1
36335,1
29094,0
23152,0
13124,0
3448,0
52367,1
21791,0
12664,0
8695,0
47581,1
5359,0
42367,1
16709,0
42653,1
14197,0
27065,0
40729,1
49994,1
30084,1
9958,0
39900,1
30336,1
38933,1
333,0
18055,0
30982,1
35293,1
23000,0
36642,1
42450,1
37767,1
49826,1
35817,1
34652,1
30754,1
8773,0
46343,1
3608,0
42522,1
23381,0
21130,0
8353,0
13792,0
5663,0
57435,1
26606,0
16318,0
46618,1
16271,0
43307,1
12022,0
39070,1
19365,0
26708,0
37991,1
32816,1
48474,1
19615,0
46866,1
56467,1
28927,0
46056,1
6697,0
43295,1
44703,1
4829,0
56402,1
29569,1
28830,0
58069,1
43961,1
57143,1
32559,1
16325,0
2405,0
5154,0
42047,1
28442,0
8147,0
52506,1
22249,0
19311,0
28702,0
32828,1
46865,1
16064,0
31511,1
53645,1
37652,1
208,0
45895,1
5665,0
52831,1
35555,1
45391,1
25189,0
26516,0
49341,1
22369,0
42903,1
26299,0
35438,1
44682,1
35185,1
50981,1
46883,1
8798,0
33173,1
43739,1
22966,0
33547,1
25213,0
4745,0
3169,0
14220,0
21816,0
13169,0
21413,0
16525,0
42930,1
12242,0
53270,1
54362,1
26517,0
31316,1
7101,0
10766,0
47338,1
58265,1
14835,0
11090,0
37053,1
3172,0
46389,1
54651,1
10359,0
17038,0
15919,0
14934,0
22198,0
6466,0
21085,0
50975,1
34716,1
30172,1
14967,0
46815,1
28144,0
21579,0
34891,1
32729,1
49759,1
29211,0
55348,1
8220,0
6343,0
22578,0
3145,0
39389,1
26899,0
17938,0
20816,0
54839,1
9805,0
1204,0
46120,1
53745,1
7215,0
9247,0
48710,1
2377,0
11902,0
33965,1
18238,0
30711,1
26808,0
46665,1
35061,1
25798,0
2354,0
35588,1
37898,1
28182,0
2409,0
18652,0
22962,0
4660,0
10923,0
10830,0
57964,1
9317,0
55279,1
30209,1
10079,0
55888,1
46772,1
44937,1
23427,0
990,0
738,0
10146,0
27093,0
54888,1
25059,0
27191,0
2505,0
41694,1
57986,1
29767,1
10029,0
27423,0
35991,1
1775,0
48126,1
51627,1
22648,0
4301,0
6814,0
50612,1
17551,0
4680,0
8062,0
25330,0
48456,1
45605,1
30250,1
16047,0
30342,1
37022,1
55246,1
54287,1
56622,1
34194,1
51796,1
13636,0
1391,0
37213,1
37854,1
7786,0
57031,1
30611,1
43034,1
37682,1
43646,1
7803,0
14384,0
56579,1
51575,1
29734,1
8931,0
32123,1
11457,0
46820,1
47824,1
56784,1
55603,1
34755,1
38312,1
53046,1
21340,0
25768,0
39990,1
53714,1
1530,0
40033,1
12444,0
42669,1
19858,0
3364,0
53472,1
26217,0
30021,1
14351,0
3021,0
38871,1
47284,1
27157,0
12569,0
52076,1
25815,0
55763,1
35442,1
16735,0
4307,0
4174,0
28365,0
11141,0
2741,0
56199,1
35779,1
18620,0
47649,1
39648,1
12467,0
56332,1
19681,0
5785,0
32964,1
22697,0
7044,0
19251,0
8907,0
21435,0
13043,0
25400,0
24536,0
28663,0
1794,0
51010,1
27190,0
57389,1
496,0
41690,1
54861,1
1558,0
56220,1
22191,0
43650,1
50941,1
51986,1
2210,0
46481,1
24287,0
29313,1
32165,1
6902,0
51040,1
54324,1
7301,0
40593,1
35615,1
30229,1
29744,1
15714,0
48097,1
45621,1
27419,0
15084,0
14951,0
19450,0
54193,1
2625,0
29176,0
14640,0
31910,1
25286,0
48422,1
49179,1
43249,1
24554,0
24111,0
2819,0
50186,1
55044,1
38101,1
6248,0
10584,0
20308,0
21879,0
3425,0
31135,1
43433,1
3643,0
9711,0
5783,0
37691,1
21720,0
5050,0
7944,0
17207,0
41157,1
18142,0
31373,1
1047,0
17885,0
38714,1
39577,1
28793,0
34861,1
58050,1
29530,1
25812,0
50971,1
30393,1
50762,1
21649,0
17257,0
52584,1
7527,0
19100,0
3924,0
44233,1
2889,0
53368,1
36314,1
44679,1
35025,1
38423,1
51452,1
42899,1
22551,0
30140,1
45840,1
4072,0
26903,0
56261,1
19537,0
34316,1
23787,0
34309,1
33667,1
57569,1
50625,1
33223,1
18465,0
45144,1
34718,1
12101,0
1337,0
29548,1
9373,0
8061,0
54358,1
16120,0
53400,1
9976,0
56440,1
5420,0
45614,1
7515,0
22774,0
57548,1
28198,0
36551,1
37310,1
7517,0
29165,0
57377,1
11733,0
20136,0
32426,1
20449,0
26941,0
13597,0
14553,0
48891,1
37636,1
21504,0
14798,0
55312,1
33030,1
29016,0
34450,1
12929,0
9457,0
36132,1
50437,1
48869,1
23618,0
16178,0
53529,1
47785,1
58527,1
30881,1
9121,0
3393,0
11822,0
36228,1
45732,1
20371,0
48362,1
49750,1
28132,0
37534,1
19478,0
50029,1
21068,0
33588,1
27128,0
38510,1
24201,0
12116,0
40862,1
15314,0
1124,0
10714,0
54492,1
21053,0
15673,0
19329,0
49811,1
1083,0
1953,0
13726,0
50672,1
30652,1
51189,1
21944,0
32795,1
31182,1
19570,0
1874,0
6595,0
9846,0
9606,0
53912,1
38840,1
19743,0
17127,0
44815,1
7828,0
54233,1
25377,0
52182,1
50972,1
54911,1
27249,0
13817,0
46789,1
12460,0
24562,0
33695,1
1956,0
54102,1
22501,0
21890,0
41056,1
39093,1
32034,1
49301,1
39469,1
58297,1
31765,1
7562,0
48648,1
29894,1
19369,0
40411,1
56292,1
11162,0
53646,1
7608,0
19631,0
40812,1
1805,0
7502,0
53110,1
16655,0
1145,0
44121,1
43625,1
7620,0
28422,0
2245,0
10298,0
20027,0
49572,1
13344,0
54862,1
7978,0
18154,0
14198,0
30862,1
26025,0
42953,1
36956,1
18057,0
8476,0
48660,1
15245,0
55677,1
29750,1
3418,0
21331,0
38895,1
46834,1
20078,0
29246,0
55411,1
4270,0
6782,0
31952,1
22294,0
50133,1
48938,1
3474,0
11608,0
18840,0
50398,1
37494,1
43464,1
5692,0
15980,0
44090,1
4013,0
4585,0
51621,1
12643,0
25672,0
51183,1
48962,1
39171,1
12417,0
23127,0
38684,1
18256,0
45554,1
54037,1
34267,1
13128,0
16602,0
43989,1
38281,1
9819,0
36013,1
54294,1
843,0
707,0
31740,1
58341,1
22575,0
58060,1
12172,0
51833,1
9189,0
8014,0
15835,0
25207,0
23872,0
50424,1
44521,1
7034,0
52279,1
54941,1
24888,0
26740,0
11278,0
6683,0
58055,1
11511,0
50533,1
12919,0
56713,1
48088,1
15008,0
5761,0
33707,1
46496,1
11041,0
8030,0
52821,1
57096,1
3962,0
55203,1
50791,1
53820,1
10687,0
32012,1
29541,1
55732,1
48189,1
1748,0
44328,1
24958,0
2633,0
43492,1
22347,0
2691,0
1009,0
50313,1
45006,1
51042,1
27214,0
17656,0
19309,0
15056,0
28923,0
50974,1
7774,0
3358,0
31612,1
29627,1
55574,1
38058,1
22279,0
54712,1
32752,1
46425,1
15028,0
56173,1
28228,0
37415,1
5733,0
6744,0
57632,1
14233,0
952,0
1095,0
56817,1
26043,0
26943,0
44914,1
29859,1
24234,0
11734,0
50639,1
34974,1
43922,1
16532,0
49768,1
51201,1
3859,0
50459,1
49218,1
51311,1
26595,0
16543,0
21698,0
21373,0
29279,0
47431,1
20991,0
51656,1
8260,0
32107,1
22119,0
26469,0
30508,1
48019,1
11144,0
29877,1
51826,1
4867,0
58192,1
17624,0
57727,1
28796,0
6599,0
35559,1
26825,0
20860,0
38110,1
9617,0
38657,1
14404,0
41790,1
39491,1
25922,0
48187,1
25158,0
32526,1
43931,1
6357,0
14505,0
12912,0
41875,1
39625,1
16535,0
17362,0
16135,0
11603,0
22013,0
44534,1
14273,0
14801,0
25718,0
36569,1
53982,1
35958,1
44595,1
3882,0
31791,1
58492,1
17293,0
58215,1
1099,0
53888,1
45595,1
45499,1
47078,1
5272,0
26147,0
32568,1
1522,0
26648,0
710,0
48276,1
38713,1
38706,1
29247,0
1943,0
55667,1
19861,0
50712,1
22224,0
51238,1
40067,1
18101,0
40199,1
39919,1
27438,0
46973,1
25720,0
3685,0
52129,1
57966,1
46769,1
6088,0
35101,1
31732,1
47410,1
54424,1
41181,1
29110,0
36331,1
17546,0
9878,0
17524,0
6526,0
37257,1
2698,0
16345,0
37941,1
2587,0
30017,1
51262,1
46383,1
26704,0
9117,0
10689,0
7189,0
20798,0
41379,1
13353,0
29698,1
10920,0
47157,1
9560,0
16937,0
38443,1
41892,1
737,0
29645,1
8121,0
36480,1
20200,0
8816,0
54920,1
14402,0
10506,0
10297,0
58299,1
21929,0
35329,1
56985,1
17699,0
11911,0
623,0
41870,1
40589,1
32845,1
53235,1
124,0
20686,0
8439,0
46876,1
26314,0
13603,0
22930,0
19749,0
35297,1
45618,1
47932,1
27553,0
20541,0
30923,1
36518,1
50867,1
15210,0
56843,1
35895,1
4747,0
20894,0
50530,1
15511,0
39267,1
3264,0
46001,1
43460,1
37770,1
16464,0
34431,1
29995,1
38737,1
13628,0
48847,1
22032,0
11167,0
19814,0
50674,1
27913,0
48455,1
20523,0
18488,0
12694,0
9241,0
259,0
44504,1
24398,0
19918,0
44277,1
840,0
35222,1
17383,0
45768,1
16007,0
13277,0
18038,0
26306,0
49097,1
16682,0
15392,0
35584,1
7868,0
231,0
16219,0
33763,1
51784,1
7347,0
35843,1
57661,1
57228,1
29443,1
16657,0
53623,1
45468,1
3498,0
21236,0
46889,1
3454,0
18103,0
1583,0
48194,1
35721,1
29540,1
14488,0
35494,1
7842,0
46002,1
50758,1
21832,0
43419,1
23945,0
12943,0
51872,1
1703,0
23601,0
26059,0
53948,1
1197,0
55413,1
40826,1
54879,1
30069,1
1758,0
50602,1
13301,0
7251,0
41760,1
49313,1
41518,1
21163,0
13551,0
43939,1
17643,0
44812,1
8647,0
10042,0
49147,1
29260,0
25488,0
16683,0
8450,0
35174,1
41782,1
15912,0
19608,0
12393,0
55730,1
13780,0
3806,0
34514,1
48562,1
13470,0
2291,0
10226,0
9983,0
29324,1
17415,0
3,0
4420,0
39176,1
19665,0
57225,1
39047,1
41515,1
9325,0
45589,1
46439,1
37763,1
28102,0
30121,1
39352,1
43775,1
43620,1
49435,1
12273,0
37036,1
42762,1
3757,0
50691,1
38291,1
57157,1
50341,1
14577,0
47246,1
55505,1
21446,0
53177,1
2824,0
9242,0
8982,0
12429,0
14073,0
48810,1
54745,1
20510,0
20342,0
4323,0
41766,1
7841,0
43030,1
18952,0
12554,0
34033,1
22784,0
13194,0
53931,1
48650,1
13963,0
29421,1
17176,0
2149,0
12139,0
32081,1
10338,0
11773,0
26129,0
55522,1
57178,1
24646,0
32591,1
53494,1
9845,0
34570,1
9273,0
25896,0
9322,0
49584,1
9609,0
21154,0
46841,1
45513,1
9217,0
13038,0
56176,1
47554,1
33528,1
37197,1
22223,0
11686,0
18312,0
9834,0
3315,0
48662,1
52473,1
21147,0
41812,1
41386,1
47739,1
56202,1
1322,0
54333,1
38786,1
20100,0
17125,0
19695,0
38521,1
3815,0
37744,1
29249,0
20787,0
50353,1
28735,0
57771,1
2714,0
26845,0
48461,1
23260,0
13755,0
6486,0
57629,1
45526,1
16906,0
51834,1
35980,1
25190,0
24610,0
37740,1
58433,1
42934,1
23641,0
38505,1
5434,0
22639,0
36362,1
24721,0
30227,1
30855,1
23050,0
9048,0
12542,0
5053,0
10424,0
8729,0
38043,1
43336,1
10199,0
28871,0
3742,0
8194,0
13320,0
3353,0
547,0
45794,1
7469,0
14307,0
29009,0
8891,0
53841,1
43979,1
49505,1
5621,0
23027,0
46023,1
22454,0
49653,1
51221,1
48297,1
10306,0
35322,1
58572,1
37070,1
41246,1
26853,0
19821,0
11547,0
47255,1
24517,0
35359,1
33070,1
6291,0
36990,1
44607,1
1387,0
56520,1
50789,1
14879,0
55753,1
8365,0
50756,1
56465,1
34641,1
5218,0
6671,0
22204,0
48161,1
40519,1
57646,1
21012,0
3164,0
16545,0
30070,1
22649,0
48387,1
25595,0
25788,0
5209,0
15060,0
51802,1
39493,1
22384,0
26208,0
30349,1
38367,1
8572,0
5756,0
4462,0
40733,1
41211,1
38583,1
25856,0
5701,0
18298,0
51926,1
58428,1
37474,1
48827,1
6380,0
14776,0
29687,1
22448,0
43914,1
10581,0
23309,0
35737,1
39430,1
36493,1
1156,0
36081,1
43959,1
39512,1
3039,0
19668,0
11505,0
9260,0
25572,0
46569,1
14290,0
13371,0
28538,0
42818,1
2586,0
9933,0
79,0
9193,0
7152,0
20383,0
16824,0
12315,0
52189,1
12669,0
1008,0
46936,1
8667,0
33255,1
46734,1
28904,0
56529,1
16742,0
6324,0
49239,1
50301,1
1699,0
13454,0
16352,0
23727,0
55941,1
49565,1
47988,1
45284,1
43175,1
41527,1
15785,0
12044,0
50113,1
44722,1
44109,1
41861,1
28146,0
49531,1
33932,1
36957,1
47827,1
11869,0
6240,0
26325,0
16768,0
41365,1
43493,1
31892,1
51527,1
46447,1
37980,1
54463,1
34729,1
26831,0
3522,0
49906,1
15981,0
18785,0
41864,1
1711,0
2363,0
246,0
33220,1
12557,0
10072,0
26564,0
38280,1
5455,0
28573,0
48201,1
3467,0
52921,1
21184,0
38910,1
31525,1
32516,1
5646,0
46186,1
11678,0
54875,1
13924,0
211,0
17560,0
14689,0
38705,1
32635,1
53764,1
45855,1
27363,0
21078,0
6040,0
13079,0
23473,0
10864,0
2697,0
8629,0
16763,0
14254,0
1987,0
45450,1
29733,1
46305,1
12483,0
11925,0
48190,1
36727,1
47041,1
42290,1
54551,1
54136,1
14781,0
56586,1
18508,0
35689,1
42559,1
9693,0
9868,0
4400,0
21263,0
12498,0
33807,1
58461,1
55339,1
44800,1
27727,0
45394,1
22604,0
53927,1
5702,0
24502,0
15881,0
57619,1
44767,1
34862,1
34109,1
33774,1
33490,1
4217,0
7095,0
16658,0
50144,1
3212,0
27385,0
19454,0
45612,1
52700,1
22506,0
29416,1
32588,1
30675,1
28443,0
24862,0
45545,1
49481,1
16816,0
55538,1
26596,0
18688,0
18718,0
9920,0
43582,1
14356,0
43374,1
8655,0
33760,1
34088,1
33952,1
50219,1
19219,0
53088,1
36958,1
23130,0
15291,0
14786,0
54359,1
25668,0
44515,1
47232,1
29103,0
37190,1
49164,1
29486,1
29756,1
29839,1
23376,0
24925,0
11897,0
46324,1
30771,1
50137,1
23503,0
382,0
29864,1
17888,0
48405,1
47992,1
54711,1
10310,0
37191,1
2434,0
393,0
53473,1
48717,1
35316,1
3702,0
41921,1
17358,0
6950,0
35861,1
38559,1
908,0
7656,0
57267,1
20173,0
5006,0
325,0
52904,1
19364,0
49901,1
51265,1
53978,1
11474,0
28098,0
44184,1
51181,1
1388,0
20430,0
47302,1
27868,0
9849,0
16508,0
42904,1
49971,1
36508,1
23475,0
27908,0
8018,0
21064,0
54940,1
18930,0
30507,1
40040,1
47534,1
18760,0
49545,1
8522,0
26830,0
8802,0
25473,0
10678,0
22041,0
53965,1
24357,0
18432,0
29001,0
15181,0
12422,0
41717,1
56718,1
55853,1
36883,1
5173,0
26575,0
44944,1
34622,1
27340,0
7942,0
57857,1
50278,1
18273,0
36403,1
38500,1
16528,0
40710,1
43092,1
50500,1
20142,0
7586,0
55479,1
9787,0
15602,0
42984,1
34107,1
34672,1
4071,0
28026,0
49794,1
1712,0
40196,1
49398,1
48283,1
13126,0
10355,0
56458,1
44639,1
17354,0
2679,0
55814,1
32511,1
20481,0
40503,1
17686,0
45142,1
27100,0
3157,0
13586,0
43471,1
21226,0
35239,1
3710,0
23672,0
49724,1
14177,0
19720,0
38230,1
33457,1
4793,0
57694,1
16488,0
53827,1
52408,1
5317,0
22178,0
27622,0
38784,1
32971,1
58248,1
45122,1
49710,1
56269,1
24280,0
16784,0
41258,1
1550,0
44781,1
23611,0
16083,0
51112,1
7066,0
9379,0
43565,1
20370,0
37309,1
41373,1
6473,0
34624,1
10076,0
51541,1
6959,0
9668,0
12333,0
23996,0
23948,0
40433,1
3658,0
41230,1
12887,0
37296,1
31928,1
49546,1
33320,1
47965,1
33224,1
33159,1
57488,1
27493,0
55114,1
2792,0
31090,1
17591,0
8409,0
58448,1
30802,1
27503,0
11160,0
30495,1
2552,0
1565,0
17246,0
50000,1
31976,1
30376,1
36112,1
44129,1
26131,0
26747,0
56424,1
55316,1
29076,0
11117,0
28729,0
51688,1
53916,1
3493,0
21581,0
52869,1
54365,1
34081,1
9343,0
29154,0
10970,0
31781,1
11013,0
34068,1
26111,0
51689,1
58319,1
12477,0
34759,1
32820,1
29259,0
51226,1
13844,0
1164,0
5814,0
39777,1
18482,0
14013,0
500,0
28293,0
35509,1
7553,0
1320,0
44851,1
28680,0
31070,1
42776,1
8515,0
13000,0
28833,0
2561,0
42037,1
48978,1
44153,1
7121,0
10413,0
10373,0
31456,1
51369,1
42408,1
52827,1
25069,0
48335,1
4509,0
45879,1
4741,0
55591,1
15598,0
29107,0
24048,0
33560,1
4715,0
43824,1
11760,0
40424,1
55632,1
42086,1
7118,0
24701,0
49628,1
37514,1
49044,1
16051,0
53629,1
49023,1
32852,1
17744,0
36561,1
38618,1
39051,1
35021,1
58247,1
43000,1
8190,0
19844,0
23444,0
10101,0
16872,0
17382,0
42098,1
26114,0
42782,1
43453,1
4707,0
58457,1
8379,0
23141,0
50305,1
15103,0
30343,1
30466,1
20811,0
38887,1
30323,1
8495,0
19925,0
31214,1
41849,1
31941,1
37643,1
21673,0
47298,1
55226,1
22341,0
8459,0
30181,1
46703,1
51381,1
28588,0
15300,0
35985,1
9463,0
25220,0
1232,0
45620,1
16781,0
31785,1
5594,0
55237,1
31652,1
43995,1
50048,1
52574,1
9128,0
25980,0
14498,0
16798,0
3193,0
6813,0
38935,1
11313,0
17134,0
11497,0
30157,1
44218,1
20807,0
7145,0
47362,1
9164,0
49426,1
39783,1
28956,0
27077,0
51553,1
27898,0
25273,0
56121,1
48970,1
26850,0
16412,0
44983,1
53789,1
56624,1
24146,0
44409,1
32613,1
18659,0
14767,0
22546,0
18720,0
16507,0
37218,1
40937,1
23159,0
21910,0
34983,1
17516,0
32920,1
15306,0
23573,0
45269,1
41571,1
36130,1
27209,0
17610,0
108,0
27522,0
5001,0
13207,0
16635,0
34054,1
6067,0
29651,1
44990,1
30202,1
15727,0
42837,1
35910,1
4385,0
38114,1
13348,0
39991,1
57866,1
34443,1
42459,1
40117,1
7554,0
24859,0
20998,0
6212,0
35920,1
23145,0
48548,1
55988,1
37989,1
6995,0
8569,0
1222,0
36540,1
54653,1
52351,1
10607,0
33524,1
17471,0
42427,1
29848,1
27609,0
893,0
41754,1
21398,0
30345,1
6522,0
37058,1
31915,1
37748,1
2031,0
17128,0
52070,1
7968,0
9494,0
44480,1
52386,1
9464,0
44669,1
15219,0
27765,0
17051,0
8373,0
39400,1
53484,1
21820,0
10250,0
19010,0
53842,1
29854,1
51640,1
23532,0
13022,0
39048,1
8272,0
38865,1
40530,1
14548,0
23298,0
731,0
51748,1
7207,0
6899,0
43201,1
57426,1
35317,1
19432,0
53806,1
32650,1
1543,0
31780,1
47098,1
13862,0
5397,0
42503,1
45918,1
25579,0
49373,1
52962,1
3771,0
42155,1
327,0
36499,1
44475,1
34438,1
13465,0
15055,0
36874,1
52850,1
40628,1
12578,0
4052,0
35357,1
28454,0
26120,0
7607,0
14067,0
24513,0
14867,0
14600,0
17944,0
22493,0
2397,0
34664,1
25463,0
34815,1
48720,1
23859,0
6143,0
18668,0
12471,0
55023,1
39365,1
50224,1
34840,1
22026,0
44906,1
20865,0
3495,0
31966,1
30260,1
24222,0
40435,1
43462,1
17016,0
43010,1
12981,0
29302,1
20069,0
31793,1
1450,0
39281,1
15676,0
4259,0
16218,0
10417,0
21139,0
52995,1
32282,1
15461,0
14252,0
591,0
40224,1
7588,0
35614,1
9558,0
24876,0
28397,0
45035,1
23463,0
15327,0
52556,1
1880,0
39004,1
32042,1
4693,0
8573,0
18415,0
43554,1
35321,1
18716,0
25195,0
5477,0
20497,0
43461,1
22329,0
48701,1
40325,1
57944,1
30011,1
12959,0
20622,0
32383,1
51898,1
34201,1
54184,1
24258,0
37136,1
52644,1
24179,0
36743,1
11073,0
24617,0
21196,0
7441,0
7653,0
20656,0
25984,0
53778,1
36894,1
19703,0
6942,0
22220,0
43745,1
41794,1
46306,1
8986,0
35007,1
57739,1
43813,1
55910,1
52254,1
52938,1
51257,1
29478,1
49808,1
29236,0
31681,1
37175,1
2912,0
22215,0
53576,1
17934,0
38140,1
10227,0
8261,0
38746,1
45931,1
35377,1
22812,0
13142,0
24518,0
19640,0
26184,0
14184,0
28934,0
43593,1
30465,1
36928,1
50411,1
1650,0
2506,0
36099,1
30240,1
14603,0
52874,1
33078,1
5731,0
32673,1
1671,0
13771,0
45024,1
16587,0
45663,1
10515,0
40181,1
32217,1
19913,0
14353,0
22934,0
27586,0
32648,1
23406,0
9505,0
53204,1
30124,1
42563,1
38687,1
10369,0
40562,1
55315,1
28133,0
19568,0
22258,0
56081,1
24169,0
11441,0
48113,1
27161,0
2439,0
25136,0
9113,0
54993,1
45814,1
45422,1
23335,0
3958,0
40124,1
52910,1
29696,1
46556,1
46368,1
30572,1
36836,1
39909,1
18499,0
50432,1
2455,0
2585,0
17785,0
43386,1
54295,1
36712,1
35260,1
15685,0
57620,1
22262,0
3213,0
31820,1
42050,1
54732,1
11282,0
49914,1
37419,1
24073,0
5454,0
50290,1
19479,0
9006,0
40536,1
7584,0
9927,0
26945,0
44784,1
11178,0
23340,0
20577,0
57969,1
24119,0
15239,0
23913,0
54672,1
57672,1
38407,1
2970,0
42375,1
31520,1
55394,1
25191,0
13077,0
22267,0
3257,0
48042,1
22532,0
19605,0
18664,0
51007,1
32146,1
25370,0
7513,0
48167,1
1674,0
1745,0
15999,0
12171,0
23316,0
54159,1
45993,1
30714,1
56433,1
21073,0
36953,1
12584,0
22795,0
14137,0
14817,0
36884,1
49131,1
5700,0
50455,1
23324,0
12524,0
45313,1
45693,1
10196,0
14304,0
42315,1
1115,0
31264,1
5969,0
45608,1
2687,0
5998,0
53097,1
29369,1
35304,1
825,0
44880,1
42573,1
46872,1
17469,0
1309,0
12958,0
33778,1
29872,1
37368,1
55623,1
49935,1
27469,0
4952,0
1702,0
42526,1
56842,1
4900,0
25878,0
15530,0
26824,0
46384,1
33500,1
11348,0
12702,0
56874,1
51698,1
13591,0
41305,1
57103,1
13562,0
9506,0
23565,0
19868,0
53029,1
46592,1
26765,0
477,0
51151,1
50285,1
28548,0
37681,1
50092,1
2877,0
12098,0
40540,1
805,0
26106,0
48255,1
21478,0
39432,1
1453,0
1291,0
15991,0
25571,0
9661,0
36577,1
35094,1
18839,0
29861,1
18229,0
51836,1
1934,0
47611,1
50066,1
42892,1
5607,0
46,0
40042,1
34905,1
47763,1
34030,1
42524,1
10091,0
30485,1
14684,0
40596,1
39000,1
47167,1
45913,1
26816,0
21882,0
53713,1
19842,0
29487,1
49877,1
55377,1
43038,1
24399,0
19907,0
15858,0
54259,1
20682,0
15937,0
26826,0
31327,1
31483,1
15268,0
37852,1
13588,0
5512,0
49117,1
29950,1
27121,0
56080,1
28387,0
40567,1
49652,1
9918,0
38807,1
55336,1
52414,1
46916,1
3397,0
47333,1
3507,0
56437,1
28597,0
41595,1
21213,0
52649,1
5376,0
55404,1
20891,0
26801,0
51195,1
29034,0
42881,1
51650,1
23334,0
52465,1
51913,1
7015,0
45968,1
18044,0
36560,1
46372,1
44367,1
39060,1
44332,1
5143,0
49760,1
38580,1
50010,1
39177,1
1174,0
56472,1
45104,1
7825,0
5913,0
40650,1
53600,1
38675,1
8854,0
54441,1
27995,0
34288,1
39067,1
7406,0
5354,0
46386,1
36240,1
26655,0
53769,1
9856,0
26317,0
54605,1
44268,1
48111,1
40410,1
49209,1
41506,1
46991,1
48639,1
57322,1
12152,0
38262,1
30248,1
10272,0
48730,1
57535,1
13354,0
33245,1
54099,1
30392,1
43246,1
3377,0
24687,0
